Year,WTeamID,LTeamID
2022,1103,1417
2022,1104,1323
2022,1112,1222
2022,1112,1395
2022,1112,1460
2022,1116,1181
2022,1116,1211
2022,1116,1308
2022,1116,1436
2022,1120,1240
2022,1120,1274
2022,1124,1313
2022,1124,1314
2022,1129,1272
2022,1151,1228
2022,1159,1458
2022,1161,1276
2022,1163,1308
2022,1166,1242
2022,1166,1361
2022,1168,1181
2022,1172,1277
2022,1174,1437
2022,1181,1277
2022,1181,1314
2022,1181,1403
2022,1209,1211
2022,1211,1272
2022,1222,1228
2022,1222,1412
2022,1222,1437
2022,1231,1388
2022,1234,1350
2022,1235,1261
2022,1235,1274
2022,1235,1458
2022,1242,1274
2022,1242,1314
2022,1242,1344
2022,1242,1411
2022,1242,1437
2022,1246,1389
2022,1255,1397
2022,1260,1326
2022,1266,1314
2022,1274,1425
2022,1276,1397
2022,1276,1437
2022,1286,1403
2022,1293,1362
2022,1293,1389
2022,1314,1389
2022,1314,1417
2022,1323,1403
2022,1326,1437
2022,1344,1350
2022,1344,1355
2022,1345,1389
2022,1345,1400
2022,1345,1463
2022,1371,1395
2022,1388,1417
2022,1400,1439
